4-LETTER WORDS,5-LETTER WORDS,6-LETTER WORDS,7-LETTER WORDS,8-LETTER WORDS
vote vi.投票,class vt.把…编入某一班级；把…看作（或分类、归类）,secure vi.船抛锚；获得安全；停止工作,elderly adj.稍老的；上了年纪的；过了中年的,accurate adj.精确的
vote vt.公认；使投票；投票决定,class vi.被列为某类（或某级）,shield n.盾；防护物；保护者,mastery n.掌握；精通；优势,accuracy n.准确性
blow n.吹；打击；殴打,charm n.魔力；吸引力,shield vt.遮蔽；包庇,consent n.同意；赞成；（意见等的）一致,warranty n.保证；担保
blow vt.风吹,charm vt.使陶醉；行魔法,shield vt.避开；保卫,consent vi.同意；赞成；答应,warranty n.授权；（正当）理由
blow vi.风吹；喘气,charm vi.有魔力；用符咒,shield vi.防御；起保护作用,concept n.概念,betrayal n.背叛；辜负；暴露
bomb n.炸弹,tempt vt.诱惑；引起,insure vt.保证；给…保险,combine n.联合企业；联合收割机,disclose vt.公开；揭露
bomb vt.投弹于,tempt vt.使感兴趣；冒…的风险,insure vi.确保；投保,combine vt.使化合；使结合,exposure n.暴露；曝光
bomb vi.投弹；失败,stand n.站立；立场,target n.目标；靶子,combine vi.结合；化合,exposure n.揭露；陈列
bang n.刘海；重击；突然巨响,stand n.看台；停止,target vt.瞄准某物；把……作为目标；规定……的指标,ruinous adj.零落的；毁灭性的,symbolic adj.象征的；符号的；使用符号的
bang vt.重击；发巨响,stand vi.站立；位于；停滞,object n.目标；物体,harmful adj.有害的；能造成损害的,standard n.旗；标准
bang adv.直接地；砰然地；突然巨响地,stand vt.忍受；抵抗；使站立,object n.客体；宾语,resolve n.坚决；决定要做的事,standard n.水准；度量衡标准
able adj.能；能干的；有能力的,abide vi.持续；忍受；停留,object vt.提出…作为反对的理由,resolve vt.决定；溶解,standard adj.标准的；合规格的；公认为优秀的
keen adj.敏捷的；渴望的；强烈的,abide vt.容忍；停留；遵守,object vi.反对；拒绝,resolve vt.使…分解；决心要做…,classify vt.分类；分等
keen n.挽歌,probe n.探针；调查,intend vi.有打算,resolve vi.解决；决心；分解,peculiar n.特权；特有财产
fine n.罚款,probe vi.调查；探测,intend vt.打算；想要；意指,removal n.免职；移动,peculiar adj.特殊的；独特的
fine adj.好的；优良的；精美的,probe vt.探查；用探针探测,review n.回顾；复习；评论,removal n.排除；搬迁,peculiar adj.奇怪的；罕见的
fine vt.罚款；澄清,favor n.喜爱；欢心；好感,review vt.回顾；检查；复审,abolish vt.废止；革除,charming adj.迷人的；可爱的
fine adv.很好地；精巧地,favor vt.像；赞成；喜欢,review vi.回顾；写评论；复习功课,popular adj.通俗的；大众的,charming v.使陶醉（charm的现在分词）
twin n.双胞胎中一人,broad n.宽阔部分,remark n.注意；言辞,popular adj.普及的；受欢迎的,inviting v.邀请（invite的ing形式）
twin adj.双胞胎的,broad adj.辽阔的；显著的；大概的,remark vt.评论；觉察,finally adv.最后；终于；决定性地,inviting adj.诱人的；有魅力的
twin vt.使成对,broad adv.宽阔地,remark vi.谈论,novelty n.新奇；新奇的事物；新颖小巧而廉价的物品,tempting v.引诱（tempt的ing形式）
twin vi.成对；生双胞胎,rough n.艰苦；粗糙的部分,degree n.度；等级,fiction n.小说；编造；谎言,tempting adj.吸引人的；诱惑人的
dual n.双数；双数词,rough n.高低不平的地面；未经加工的材料,degree n.学位；阶层,romance n.传奇；浪漫史,tolerate vt.忍受；默许；宽恕
dual adj.双的；双重的,rough adj.粗糙的；粗略的；粗野的,extent n.程度；范围；长度,romance n.风流韵事；冒险故事,tolerant adj.宽容的；容忍的；有耐药力的
emit vt.放射；发行；发表,rough vt.草拟；使粗糙；粗暴对待,ascend vi.上升；登高；追溯,romance vi.虚构；渲染；写传奇,describe vt.形容；描绘
duly adv.适当地；充分地；按时地,rough adv.粗糙地；粗略地；粗暴地,ascend vt.上升,precise adj.精确的；明确的；严格的,portrait n.肖像；描写；半身雕塑像
toll vt.征收；敲钟,rough vi.举止粗野,senior n.上司；较年长者；毕业班学生,exactly adv.正是；恰好地,favorite n.幸运儿；喜欢的事物；特别喜欢的人
toll n.代价；钟声,giant n.巨人；伟人；巨大的动物,senior adj.高级的；年长的,exactly adv.精确地；正确地,favorite adj.中意的；宠爱的；最喜爱的
toll n.通行费；伤亡人数,giant adj.巨大的；巨人般的,senior adj.地位较高的；资格较老的,promise n.允诺；希望,gigantic adj.庞大的
toll vi.鸣钟；征税,large adj.大的；多数的；广博的,expert n.专家；行家；能手,promise vt.许诺；给人以…的指望或希望,enormous adj.巨大的；极恶的
save prep.除...之外,large adv.大大地；夸大地,expert adj.熟练的；内行的；老练的,promise vi.许诺；有前途,instance n.实例；情况；建议
save n.救援,large n.大,expert vt.当专家；在…中当行家,warrant n.根据；证明,instance vt.举...为例
save vi.节省；挽救,crowd n.一伙；大众,master vt.控制；精通；征服,warrant n.委任状；正当理由,majority n.多数；成年
save vt.节省；保存,crowd v.挤进,master n.硕士；主人,warrant vt.保证；担保,feverish adj.发热的；极度兴奋的
save vt.储蓄；解救,crowd vt.催逼；将...塞进,master n.大师；教师,warrant vt.批准；辩解,function n.功能；函数
file n.文件；档案,crowd vi.聚集,master adj.主人的；主要的；熟练的,display n.显示；炫耀,function n.职责；盛大的集会
file n.锉刀；文件夹,troop vt.把（骑兵）编成骑兵连,chance n.际遇；侥幸；可能性,display vt.显示；表现；陈列,function vi.运行；活动；行使职责
file vt.锉；提出,troop vi.群集；结队；成群而行,chance vt.偶然发生；冒……的险,display adj.展览的；陈列用的,operator n.行家；经营者
file vt.琢磨；把…归档,troop n.组；群,chance vi.碰巧；偶然被发现,display vi.作炫耀行为,operator n.操作员；话务员
file vi.列队行进；用锉刀锉,troop n.军队；多数,notion n.概念；见解；打算,exhibit n.证据；展览品；展示会,positive n.正数；正片
host n.主机；主人,bulky adj.庞大的；笨重的；体积大的,deduce vt.推断；演绎出,exhibit vt.展览；显示；提出（证据等）,positive adj.积极的；阳性的；肯定的
host n.许多；主持人,fever n.发热；狂热,expire vi.期满；终止,exhibit vi.展出；开展览会,definite adj.一定的；确切的
host vt.主持；当主人招待,fever vt.使发烧；使狂热；使患热病,expire vi.死亡；呼气,reflect vt.反映；照出；表达,personal n.人事消息栏；人称代名词
host vi.群集；做主人,fever vi.发烧；狂热；患热病,expire vt.呼出（空气）,reflect vi.映现；深思,personal adj.个人的；身体的；亲自的
jump n.跳跃；暴涨；惊跳,enact vt.颁布；扮演,couple n.对；夫妇；数个,uncover vt.发现；揭开；揭露,intimate n.知己；至交
jump vt.跳跃；跳过,enact vt.发生；制定法律,couple vt.结合；连接；连合,uncover vi.发现；揭示；揭去盖子,intimate adj.亲密的；私人的
jump vt.突升；使跳跃,glory n.荣誉；赞颂,couple vi.结合；成婚,signify vt.表示；意味；预示,intimate adj.精通的；有性关系的
jump vi.跳跃；暴涨；猛增,glory vi.骄傲；狂喜,damage vi.损害；损毁,signify vi.要紧；有重要性；冒充内行,intimate vt.暗示；通知；宣布
leap vi.跳跃,quest n.追求；寻找,damage vt.毁坏,gesture n.姿态；手势,intimacy n.亲密；隐私
leap n.飞跃；跳跃,quest vt.探索,damage n.损害；损毁；赔偿金,gesture vt.用动作表示,intimacy n.性行为；亲昵行为
leap vt.跳过；使跃过,quest vi.追求；寻找,impair vt.损害；削弱；减少,gesture vi.作手势；用动作示意,prestige n.声望；声誉
fuse n.熔线；雷管,split n.劈开；裂缝,decide vi.下决心,symptom n.症状；征兆,glorious adj.光荣的；辉煌的；极好的
fuse vt.使融合；使熔融,split adj.劈开的,decide vt.决定；解决；判决,ranking n.等级；地位,separate n..分开；抽印本
fuse vi.融合；熔融,split vt.分离；劈开；离开,settle n.有背长椅,ranking adj.上级的；头等的；超群的,separate adj.；单独的；分开的
ally n.伙伴；助手,split vi.离开；被劈开；断绝关系,settle vi.解决；定居,ranking v.排列；归类于（rank的ing形式）,separate vt.使分离；使分开；使分居
ally n.同盟国；同盟者,admit vi.承认；容许,settle vi.沉淀；下陷,classic n.名著；经典著作；大艺术家,separate vi.分开；隔开；分居
ally vt.使联盟；使联合,admit vt.承认；可容纳；准许进入,settle vt.解决；安排；使…定居,classic adj.经典的；传统的；最优秀的,division n.除法；部门；分配
ally vi.联合；结盟,essay n.散文；试图；随笔,depend vi.依靠；信赖；取决于,special n.特刊；专车；特色菜,divisive adj.分裂的；区分的；造成不和的
mood n.语气；心境；气氛,essay vt.尝试；对…做试验,remove n.移动；距离；搬家,special adj.特别的；专用的,detached v.分离
tone n.语气；色调,prose n.散文；单调,remove vt.迁移；开除；调动,attract vt.吸引；引起,detached adj.分开的；超然的
tone n.音调；音色,prose adj.散文的；平凡的；乏味的,remove vi.迁移；搬家,attract vi.吸引；有吸引力,isolated adj.孤立的；分离的
tone vt.增强；用某种调子说,prose vt.把…写成散文,delete vt.删除,drawing n.图画；牵引；素描术,isolated adj.单独的；绝缘的
tone vi.颜色调和；呈现悦目色调,prose vi.写散文；乏味地讲话,cancel vi.撤销,drawing v.绘画；拖曳；吸引（draw的ing形式）,isolated v.使孤立；使绝缘；脱离（isolate的过去分词）
blur n.污迹；模糊不清的事物,waste n.浪费；废物；荒地,cancel vt.取消；删去,portray vt.描绘；扮演,essayist n.散文家；评论家
blur vt.涂污；玷污,waste adj.废弃的；多余的；荒芜的,cancel vi.取消；相互抵消,despite prep.不管,prohibit vt.禁止
blur vt.使暗淡；使…模糊不清,waste vt.浪费；消耗；使荒芜,cancel n.撤销,despite n.轻视；憎恨；侮辱,wasteful adj.奢侈的；不经济的
blur vi.变模糊；沾上污迹,waste vi.浪费；变消瘦；挥霍钱财,plague n.瘟疫；灾祸,explore vi.探索；探测；探险,denounce vt.谴责；告发
peak n.山峰；顶点,blame n.责备；责任；过失,plague n.麻烦；讨厌的人,explore vt.探索；探测；探险,denounce vt.公然抨击；通告废除
peak n.帽舌；最高点,blame vt.责备；归咎于,plague vt.折磨；使苦恼；使得灾祸,general n.一般；上将；常规,category n.分类；范畴
peak adj.最高的；最大值的,genre n.类型；种类；体裁,pledge n.誓言；抵押；典当物,general adj.普通的；综合的；大体的,conflict n.矛盾；斗争；争执
peak vt.使竖起；使达到最高点,genre adj.风俗画的；以日常情景为主题的,pledge vt.许诺；用……抵押；举杯祝……健康,roughly adv.粗糙地；概略地,conflict vi.抵触；争执；战斗
peak vi.消瘦；变憔悴；到达最高点,drain n.排水；消耗；排水管,assure vt.保证；担保,overall adj.全部的；全体的；一切在内的,disagree vi.争执；不同意
tiny adj.微小的；很少的,drain vt.耗尽；使流出；排掉水,assure vt.使确信；弄清楚,overall adv.全部地；总的说来,disagree vi.不一致；不适宜
moan vi.悲叹；呻吟,drain vi.排水；流干,ensure vt.确保；使安全,overall n.罩衫；工装裤,consumer n.顾客；消费者
moan n.悲叹；呻吟声,doubt n.怀疑；疑问；疑惑,embody vt.使具体化；具体表达,blanket n.毯子；覆盖层,drainage n.排水；污水
moan vt.抱怨；呻吟着说,doubt v.怀疑；不信,reveal n.揭露；暴露；窗侧,blanket adj.全体的；没有限制的,drainage n.排水系统；排水面积
loan n.贷款；借款,doubt v.恐怕；拿不准,reveal vt.显示；透露,blanket vt.掩盖；用毯覆盖,district n.区域；地方；行政区
loan vi.借出,equal n.对手；匹敌,reveal vt.揭露；泄露,largely adv.主要地；大部分；大量地,regional adj.地区的；局部的；整个地区的
loan vt.借；借给,equal n.同辈；相等的事物,betray vt.背叛；出卖,immense adj.广大的；非常好的；无边无际的,doubtful adj.可疑的；疑心的
deny vi.否认；拒绝,equal adj.平等的；相等的；胜任的,betray vt.露出…迹象；泄露（秘密）,sizable adj.相当大的；大小相当的,doubtful adj.令人生疑的；不能确定的
deny vt.否认；拒绝给予；拒绝…的要求,equal vt.等于；比得上,unfold vi.展开；显露,example n.例子；榜样,equality n.平等；相等；等式
veto n.否决权,alike adj.相似的；相同的,unfold vt.打开；呈现,example vt.作为…的例子；为…做出榜样,ignorant adj.无知的；愚昧的
veto vt.否决；禁止,alike adv.类似于；以同样的方式,expose vt.揭发；显示；使曝光,example vi.举例,overlook vt.忽略；俯瞰；远眺
veto vi.否决；禁止,rival n.对手；竞争者,signal n.信号；暗号；导火线,massive adj.大量的；厚重的；魁伟的,overlook n.忽视；眺望
quit n.离开；退出,rival adj.竞争的,signal adj.显著的；作为信号的,package n.包裹；程序包,maintain vt.维持；继续；维修
quit vt.离开；放弃,rival vt.与…竞争；比得上某人,signal vt.标志；表示；用信号通知,package adj.一揽子的,preserve n.保护区；禁猎地；加工成的食品
quit vt.停止；使…解除,rival vi.竞争,signal vi.发信号,package vt.打包；将…包装,preserve vt.腌；保存；保护
quit adj.摆脱了…的；已经了结的,prior adj.优先的；在前的,motion n.动作；移动；手势,passion n.激情；热情,conserve n.果酱；蜜饯
quit vi.离开；辞职；停止,prior adv.居先,motion vi.运动；打手势,passion n.酷爱；盛怒,conserve vt.保存；使守恒；将…做成蜜饯
exit n.通道；退场,grave n.坟墓；死亡,motion vt.运动；向…打手势,zealous adj.积极的,moderate adj.温和的；中等的；有节制的
exit vi.退出；离去,grave adj.重大的；严肃的；黯淡的,symbol n.象征；符号；标志,heating n.加热；供暖；暖气设备,moderate vi.变弱
flee vt.逃走；逃避,grave vt.雕刻；铭记,herald n.征兆；先驱,heating v.加热（heat的现在分词）,moderate vt.节制；减轻
flee vi.逃走；消散,sheer n.偏航；透明薄织物,herald n.传令官；报信者,heating adj.加热的；供热的,previous adj.以前的；早先的；过早的
duty n.责任；关税；职务,sheer adj.绝对的；透明的,herald vt.通报；预示…的来临,perform vt.执行；完成；演奏,previous adv.在先；在…以前
task n.作业；任务,sheer adj.峻峭的；纯粹的,normal adj.正常的；标准的,perform vi.表演；机器运转,priority n.优先；优先权
task vt.分派任务,sheer vt.使偏航；使急转向,normal n.正常；标准；常态,execute vt.实行；执行；处死,priority n.优先次序；优先考虑的事
levy n.征收；征税,sheer adv.完全；陡峭地,status n.地位；状态,operate vi.运转；动手术；起作用,displace vt.取代；置换；转移
levy vt.征收（税等）；征集（兵等）,sheer vi.偏航,status n.情形；重要身份,operate vt.操作；经营,severely adv.严重地；严厉地；纯朴地
levy vi.征税；征兵,plead vt.借口；托称；为...辩护,unique n.独一无二的人或物,operate vt.引起；对…开刀,severity n.严重；严格；猛烈
fake n.假货；骗子；假动作,plead vi.恳求；辩护,unique adj.稀罕的；独一无二的,certain adj.某一；确信；必然的,simplify vt.简化；使单纯；使简易
fake adj.伪造的,extra n.号外；临时演员,invite n.邀请,certain pron.某些；某几个,petition n.请愿；祈求
fake vt.捏造；假装…的样子,extra n.上等产品；额外的事物,invite vt.招待；招致,private n.列兵；二等兵,petition n.诉状；请愿书
fake vi.假装；做假动作,extra adj.特大的；另外收费的,seduce vt.引诱；诱惑,private adj.私人的；私有的；私下的,petition vt.请愿；请求；恳求
feed n.饲料；饲养；（动物或婴儿的）一餐,extra adv.非常；另外,seduce vt.诱奸；怂恿,privacy n.隐私；秘密,petition vi.请愿；请求
feed vt.喂养；供给；放牧,wound n.伤口,suffer vi.忍受；经验,privacy n.隐居；隐居处,recovery n.复原；痊愈；重获
feed vi.流入；吃东西,wound vt.使受伤,suffer vi.受痛苦；受损害,hunting n.打猎；追逐；搜索,remedial adj.治疗的；补救的；矫正的
rear n.后面；屁股；后方部队,wound vi.伤害,suffer vt.遭受；忍受；经历,hunting v.狩猎；追捕；寻找（hunt的ing形式）,medicine n.药；医学
rear adj.后方的；后面的；背面的,ideal n.理想；典范,endure vt.忍耐；容忍,hunting adj.打猎的；振荡的,medicine n.内科；巫术
rear vt.培养；树立；栽种,ideal adj.理想的；完美的,endure vi.忍耐；持续,pursuit n.追求；工作,medicine vt.给…用药；用药物治疗
rear adv.向后；在后面,ideal adj.想象的；不切实际的,harbor n.海港；避难所,divorce n.离婚；分离,employer n.老板
rear vi.暴跳；高耸,model n.模型；典型；模范,harbor vt.庇护；怀有,divorce vt.使分离；与…离婚,employee n.雇员；从业员工
flaw n.缺点；裂纹,model vt.模拟；塑造；模仿,harbor vi.生存；躲藏；入港停泊,divorce vi.离婚,bruising n.挫伤
flaw n.一阵狂风；短暂的风暴,model vi.做模型；做模特儿,depict vt.描述；描画,isolate n.隔离种群,bruising adj.殊死的；十分激烈的
flaw v.使无效；使有裂纹；使有缺陷,model adj.模范的；作模型用的,prefer vt.宁愿；提出,isolate vt.使隔离；使孤立；使绝缘,bruising v.擦伤（bruise的ing形式）
flaw vi.生裂缝；变的有缺陷,react vi.反应；影响,prefer vt.提升；更喜欢,isolate adj.隔离的；孤立的,painless adj.无痛的；不痛的
pure adj.纯的；纯粹的；纯洁的,react vi.反抗；起反作用,prefer vi.喜欢；愿意,isolate vi.隔离；孤立,idealism n.理念论；理想主义
rush n.冲进；匆促,react vt.使起化学反应；使发生相互作用,vastly adv.极大地；广大地；深远地,article n.文章；物品,idealize vt.使理想化；理想化地描述
rush n.急流；灯心草,reply n.回答；答辩,sample n.样品；样本；例子,article n.条款；冠词,idealize vi.理想化；形成思想
rush adj.急需的,reply vt.回答；答复,sample adj.样品的；作为例子的,article vt.使…受协议条款的约束；订约将…收为学徒或见习生,inherent adj.固有的；内在的；遗传的
rush vt.使冲；突袭,reply vi.回答；答辩；回击,sample vt.取样；尝试；抽样检查,article vi.签订协议；进行控告,implicit adj.含蓄的；暗示的；盲从的
rush vt.飞跃；匆忙地做,ditch n.沟渠；壕沟,packed adj.塞满了…的,boycott n.联合抵制,location n.地点；外景拍摄场地；位置（形容词locational）
rush vi.冲；奔；闯,ditch vt.丢弃；在…上掘沟；把…开入沟里,packed v.包装（pack的过去分词）,boycott vt.联合抵制；拒绝参加,situated v.使位于；使处于（situate的过去分词）
race n.种；人种；门第,ditch vi.开沟；掘沟,packet n.小捆；信息包,condemn vt.谴责；定罪；声讨,situated adj.位于…的；处于…境遇的
race vt.和…竞赛；使参加比赛；使全速行进,punch n.冲压机；打洞器；钻孔机,packet vt.打包,typical adj.典型的；特有的；象征性的,opposing adj.反对的；相对的；对面的
race vi.参加竞赛；全速行进,punch vt.开洞；以拳重击,rating n.等级；等级评定；额定功率,species n.物种；种类,opposing v.反对（oppose的ing形式）
dash n.冲撞；破折号,punch vi.用拳猛击,rating v.对…评价（rate的ing形式）,species adj.物种上的,opponent n.对手；敌手；反对者
dash vi.猛冲；撞击,knock vi.敲；打；敲击,heated adj.热的；激昂的；激动的,partner n.伙伴；配偶；合伙人,opponent adj.对立的；敌对的
dash vt.猛撞；泼溅；使…破灭,knock vt.敲；打,heated v.加热；使兴奋（heat的过去分词）,partner vt.使合作；与…合伙,constant n.常数；恒量
bolt n.螺钉；雷电；门闩,knock vt.敲击；批评,famous adj.著名的；非常令人满意的,partner vi.合伙；合股；成为搭档,constant adj.不变的；恒定的；经常的
bolt vt.筛选；囫囵吞下,knock n.敲；敲打；爆震声,search n.搜寻；查究,comrade n.同志；伙伴,eternity n.来生；不朽
bolt vt.脱口说出；（把门、窗等）闩上,crash n.撞碎；坠毁；破产,search vt.搜索；搜寻；调查,complex n.复合体；综合设施,eternity n.永世；永恒
bolt vi.拴住；跳出,crash vi.摔碎；坠落,search vi.搜寻；调查；探求,complex adj.复杂的；合成的,reaction n.感应；复古；反作用
bolt vi.囫囵吞下；（马等的）脱缰,crash vi.发出隆隆声；(金融企业等)破产,hunter n.猎人；猎犬；搜寻者,paradox n.反论；似非而是的论点；自相矛盾的人或事,response n.响应；反应；回答
bolt adv.突然地；直立地；像箭似地,crash vt.打碎；擅自闯入；使坠毁、撞坏,pursue vi.追赶；继续进行,warfare n.战争；冲突,striking v.打（strike的ing形式）
dart vt.投射；使迅速突然移动,pound n.英镑；兽栏,pursue vt.继续；从事,collide vi.碰撞；冲突,striking adj.惊人的；打击的；罢工的
dart vi.飞奔,pound n.重击声；拘留所,pursue vt.追赶；纠缠,collide vt.使碰撞；使相撞,election n.选举；当选
dart n.标枪；飞奔,pound vt.捣烂；敲打；拘留,divide n.分水线,consume vt.消费；挥霍；使…着迷,election n.选择权；上帝的选拔
dart n.（虫的）螯；飞快的移动,pound vi.猛击,divide vt.除；划分,consume vi.毁灭；耗尽生命,elective adj.选修的；选举的；选任的
zoom vi.嗡嗡作响；急速上升,track n.轨道；踪迹；小道,divide vt.分开；使产生分歧,exhaust n.排气；废气；排气装置,elective n.选修课程
zoom n.变焦；嗡嗡声,track vt.追踪；通过,divide vi.分开；意见分歧,exhaust vt.排出；耗尽,outdated adj.过时的；旧式的
zoom n.隆隆声；（车辆等）疾驰的声音,track vt.用纤拉；循路而行,detach vt.分离；派遣；使超然,exhaust vt.彻底探讨；使精疲力尽,outdated v.使过时（outdate的过去式和过去分词）
zoom vt.使猛增；使急速上升,track vi.走；追踪；留下足迹,accuse vt.指控；谴责；归咎于,exhaust vi.排气,civilize vt.教化；使文明；使开化
whip n.鞭子；抽打,trail n.小径；痕迹；尾部,accuse vi.指责；控告,swallow n.燕子；一次吞咽的量,civilize vi.变得文明
whip n.车夫；搅拌器,trail vt.拖；追踪,typist n.打字者,swallow vt.忍受；吞没,civilian n.百姓
whip vt.抽打；煽动,trail vt.蔓延；落后于,battle n.战役；斗争,swallow vi.吞下；咽下,civilian adj.民用的；平民的
whip vt.奶油）；彻底击败,trail vi.飘出；蔓生,battle vt.与…作战,quarter num.四分之一,interact n.幕间剧；幕间休息
whip vi.抽打；急走；拍击,trail vi.垂下；拖曳,battle vi.斗争；作战,quarter n.节；地区；季度,interact vt.互相影响；互相作用
snap n.猛咬；劈啪声；突然折断,route n.路线；航线；通道,combat n.战斗；争论,quarter vt.将…四等分；供某人住宿,interact vi.互相影响；互相作用
snap adj.突然的,route vt.按某路线发送,combat adj.战斗的；为…斗争的,quarter vi.住宿；驻扎,converge vt.使汇聚
snap vt.拉断；猛咬；啪地关上,trace n.踪迹；微量,combat vi.战斗；搏斗,suspect n.嫌疑犯,converge vi.聚集；靠拢；收敛
snap vi.咬；厉声说；咯嗒一声关上,trace n.迹线；缰绳,combat vt.反对；与…战斗,suspect adj.可疑的；不可信的,assemble vt.聚集；装配；收集
shot n.发射；炮弹,trace vt.查探；描绘；回溯,differ vi.相异；意见分歧,suspect vi.怀疑；猜想,assemble vi.聚集
shot n.射手；镜头,trace vi.追溯；沿路走,differ vt.使…相异；使…不同,suspect vt.怀疑；猜想,assembly n.装配；集合
shot v.射击（shoot的过去式和过去分词）,stalk n.秆；柄,expend vt.花费；消耗,equally adv.同样地；平等地；公平地,congress n.国会；会议
shot adj.用尽的；破旧的；闪光的,stalk n.追踪；高视阔步,expend vt.用光；耗尽,uniform n.制服,congress n.社交；代表大会
joke n.笑话；笑柄,stalk vt.潜近；高视阔步,region n.地区；范围；部位,uniform adj.统一的；一致的；相同的,aircraft n.航空器
joke vt.开…的玩笑,stalk vi.偷偷接近；高视阔步地走,sector n.部门；扇区,uniform vt.使穿制服；使成一样,vocation n.职业；天职
joke vi.开玩笑,chase n.追逐；追赶；追击,sector n.象限仪；函数尺,similar n.类似物,vocation n.天命；神召
trap n.陷阱；圈套；存水湾,chase vt.追逐；追捕,sector vt.把…分成扇形,similar adj.相似的,training n.训练；培养
trap vt.诱捕；使…受限制；使…陷入困境,chase vt.雕镂；试图赢得,evenly adv.均匀地；平衡地,rivalry n.竞争；对抗；竞赛,training n.瞄准；整枝
trap vi.设陷阱,chase vi.追逐；追赶；奔跑,evenly adv.平坦地；平等地,neglect vt.忽视；忽略,training v.训练；教养（train的ing形式）
spin n.旋转；疾驰,voter n.投票人；有投票权者,fairly adv.简直；相当地；公平地,neglect n.忽视；怠慢,educator n.教师；教育家；教育工作者
spin vi.旋转；纺纱,elect n.被选的人；特殊阶层；上帝的选民,ignore vt.忽视；不理睬；驳回诉讼,sustain vt.维持；承担；忍受,emission n.散发；喷射；发行
spin vi.吐丝；晕眩,elect adj.选出的；当选的；卓越的,retain vt.雇；保持；记住,modesty n.谦逊；质朴；稳重,dramatic adj.戏剧的；急剧的
spin vt.纺纱；编造,elect vi.作出选择；进行选举,modest adj.谦逊的；适度的,decency n.正派；体面；庄重,dramatic adj.引人注目的；激动人心的
spin vt.结网；使旋转,elect vt.选举；选择；推选,modest adj.端庄的；羞怯的,replace vt.代替；更换,vigorous adj.有力的；精力充沛的
bend n.弯曲,burst n.突发；爆炸,humble adj.谦逊的；简陋的,replace vt.偿还；把…放回原处,activity n.活动；行动；活跃
bend vt.使弯曲；使屈服,burst vt.突发；爆炸,humble adj.不大的；（级别或地位）低下的,serious adj.严重的；认真的,activate vt.刺激；使活动
bend vt.使致力；使朝向,burst vi.突发；爆炸,humble vt.使谦恭；低声下气；轻松打败（尤指强大的对手）,serious adj.庄重的；危急的,activate vt.使活泼；使产生放射性
bend vi.转弯；屈服,erupt vi.爆发；喷出,decent adj.正派的；得体的；相当好的,context n.环境；上下文；来龙去脉,activate vi.激活；有活力
bend vi.倾向；专心于,erupt vi.发疹；长牙,former n.样板；起形成作用的人,curable adj.可治愈的；可医治的；可矫正的,explicit adj.明确的；清楚的
coil n.卷；线圈,erupt vt.爆发；喷出,former adj.前者的；前任的,restore vi.恢复；还原,explicit adj.直率的；详述的
coil vt.把…卷成圈,civil adj.公民的；民间的；文职的,severe adj.严峻的；严厉的,restore vt.恢复；修复；归还,specific n.特性；细节；特效药
coil vi.成圈状,voice n.声音；嗓音,severe adj.剧烈的；苛刻的,recover n.还原至预备姿势,specific adj.特定的；明确的
curl n.卷曲；卷发；螺旋状物,voice n.愿望；发言权,solemn adj.严肃的；郑重的,recover vt.恢复；弥补；重新获得,specific adj.详细的；具有特效的
curl vt.使…卷曲；使卷起来,voice vt.表达；吐露,simple n.笨蛋；愚蠢的行为；出身低微者,recover vi.恢复；胜诉；重新得球,external n.外部；外观；外面
curl vi.卷曲；盘绕,focus n.焦点；中心,simple adj.简单的；单纯的；天真的,therapy n.疗法,external adj.外部的；表面的；外用的
wind vi.缠绕；上发条；吹响号角,focus n.清晰；焦距,simply adv.仅仅；简直；简单地,machine n.机器；机构；机械般工作的人,exterior n.外部；表面
wind n.风；呼吸,focus vt.使集中；使聚焦,appeal n.请求；上诉,machine vt.用机器制造,exterior n.外型；外貌
wind n.气味；卷绕,focus vi.集中；聚焦；调节焦距,appeal n.感染力；诉诸裁判,surplus n.剩余；顺差,exterior adj.外部的；表面的；外在的
wind vt.缠绕；上发条；使弯曲,rally n.集会；回复；公路赛车会,appeal vt.对…上诉,surplus n.盈余；过剩,overseas adv.海外
bury vt.埋葬；隐藏,rally vt.团结；集合；恢复健康、力量等,appeal vi.恳求；上诉；求助,surplus adj.剩余的；过剩的,overseas adj.国外的
band n.环；波段；(演奏流行音乐的)乐队,rally vi.团结；重整,beggar n.乞丐；穷人；家伙,recruit n.招聘；新兵；新成员,alienate vt.离间；让与
band n.队；一群；n.乐队,rally vi.恢复；（网球等）连续对打,beggar vt.使贫穷；使沦为乞丐,recruit vi.复原；征募新兵,document n.公文；文档；证件
band vi.用带绑扎；给...镶边,panel n.嵌板；仪表板；全体陪审员,remedy n.补救；治疗；赔偿,recruit vi.得到补充；恢复健康,document vt.用文件证明
belt n.带；腰带；地带,panel vt.嵌镶板,remedy vt.补救；治疗；纠正,recruit vt.补充；聘用,classify vt.分类；分等
belt vt.用带子系住；用皮带抽打,craft n.工艺；手艺；太空船,herbal n.植物志；草本书,recruit vt.征募；使…恢复健康,organize vt.组织；给予生机
belt vi.猛击,craft vt.精巧地制作,herbal adj.草药的；草本的,charter n.宪章；执照；特许状,organize vt.使有系统化；组织成立工会等
join vt.参加；结合；连接,eager adj.渴望的；热切的；热心的,device n.装置；策略；图案,charter vt.特许；包租；发给特许执照,organize vi.组织起来；成立组织
join vi.加入；参加；结合,train n.火车；行列,excess n.超额；过量；无节制,painful adj.痛苦的；疼痛的；令人不快的,internal n.内脏；本质
